date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:58	3267/3267	---MCZ	200	added ('OK')	text/html	etag:W/%22009710321ff8f50ec0f82af15711a514%22	https://njrusmc.net/	/tmp/njrusmc.net/njrusmc.net/index.html	(from )
08:36:58	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jun%202024%2006:36:55%20GMT	https://njrusmc.net/robots.txt		(from )
08:36:58	52928/52928	---MCZ	200	added ('OK')	application/xml	etag:W/%2207e92e3eecb30d993a02348078ae01bb%22	https://njrusmc.net/blog/atom.xml	/tmp/njrusmc.net/njrusmc.net/blog/atom.xml	(from https://njrusmc.net/)
08:36:59	5774/5774	---MCZ	200	added ('OK')	text/html	etag:W/%22c1b957e6e19012386f890c2a381a11e2%22	https://njrusmc.net/about/about.html	/tmp/njrusmc.net/njrusmc.net/about/about.html	(from https://njrusmc.net/)
08:37:00	13067/13067	---MCZ	200	added ('OK')	text/html	etag:W/%22dcbc8fa1cd86b33c65715ac25ac1f603%22	https://njrusmc.net/blog/blog.html	/tmp/njrusmc.net/njrusmc.net/blog/blog.html	(from https://njrusmc.net/)
08:37:02	5247/5247	---MCZ	200	added ('OK')	text/html	etag:W/%22a126c52a6a3eb07173481b2f07c82f31%22	https://njrusmc.net/code/code.html	/tmp/njrusmc.net/njrusmc.net/code/code.html	(from https://njrusmc.net/)
08:37:02	8171/8171	---MCZ	200	added ('OK')	text/html	etag:W/%226c455aae7f26293346a6f084eae0ee7b%22	https://njrusmc.net/video/video.html	/tmp/njrusmc.net/njrusmc.net/video/video.html	(from https://njrusmc.net/)
08:37:03	6438/6438	---MCZ	200	added ('OK')	text/html	etag:W/%2206349646f5017f1d8edc59efff9a903d%22	https://njrusmc.net/cache/cache.html	/tmp/njrusmc.net/njrusmc.net/cache/cache.html	(from https://njrusmc.net/)
08:37:04	15460/15460	---MCZ	200	added ('OK')	text/html	etag:W/%22606b3fff76b9cda68df0a295558375bc%22	https://njrusmc.net/jobaid/jobaid.html	/tmp/njrusmc.net/njrusmc.net/jobaid/jobaid.html	(from https://njrusmc.net/)
08:37:06	8537/8537	---MCZ	200	added ('OK')	text/html	etag:W/%2250f8a8a41d134fcfe91e35721a2626a2%22	https://njrusmc.net/podcast/podcast.html	/tmp/njrusmc.net/njrusmc.net/podcast/podcast.html	(from https://njrusmc.net/)
08:37:06	3019/3019	---MCZ	200	added ('OK')	text/html	etag:W/%2266f138f85c5e51ac92d2e3ab50dd22b0%22	https://njrusmc.net/pub/pub.html	/tmp/njrusmc.net/njrusmc.net/pub/pub.html	(from https://njrusmc.net/)
08:37:07	14197/14197	---MCZ	200	added ('OK')	text/html	etag:W/%22fc6b1fcbcfd3853a936706e1c7705255%22	https://njrusmc.net/course/course.html	/tmp/njrusmc.net/njrusmc.net/course/course.html	(from https://njrusmc.net/)
08:37:09	39446/39446	---MCZ	200	added ('OK')	text/html	etag:W/%224a21a9cbd1b5406410d1ebd90dd76e19%22	https://njrusmc.net/links/links.html	/tmp/njrusmc.net/njrusmc.net/links/links.html	(from https://njrusmc.net/)
08:37:10	3039/3039	---MCZ	200	added ('OK')	text/html	etag:W/%220095eb5e13bfa3f92522d7dd5acc2236%22	https://njrusmc.net/ci_scripts/webcicd.html	/tmp/njrusmc.net/njrusmc.net/ci_scripts/webcicd.html	(from https://njrusmc.net/)
08:37:11	279045/279045	---M--	200	added ('OK')	image/jpeg	etag:%22cd211e959ef2f329fb7ff77233cd1744%22	https://njrusmc.net/about/nrusso_pic.jpg	/tmp/njrusmc.net/njrusmc.net/about/nrusso_pic.jpg	(from https://njrusmc.net/about/about.html)
08:37:12	121517/121517	---M--	200	added ('OK')	image/jpeg	etag:%22fc9be5eac0299f091e06219ccf6fc155%22	https://njrusmc.net/about/clus_rg_pic.jpg	/tmp/njrusmc.net/njrusmc.net/about/clus_rg_pic.jpg	(from https://njrusmc.net/about/about.html)
08:37:14	417638/417638	---M--	200	added ('OK')	image/jpeg	etag:%22c0c65866f221bfc74197a0b85a7e4ee3%22	https://njrusmc.net/about/promotion_pic.jpg	/tmp/njrusmc.net/njrusmc.net/about/promotion_pic.jpg	(from https://njrusmc.net/about/about.html)
08:37:14	956175/956175	---M--	200	added ('OK')	image/jpeg	etag:%228fe264ba9a0bf47251ef9694ccbaa0b7%22	https://njrusmc.net/about/puppy_pic.jpg	/tmp/njrusmc.net/njrusmc.net/about/puppy_pic.jpg	(from https://njrusmc.net/about/about.html)
08:37:17	1477690/1477690	---M--	200	added ('OK')	image/jpeg	etag:%2245d514f38fb6a75128b969f9fa032344%22	https://njrusmc.net/about/nrusso_dd214.jpg	/tmp/njrusmc.net/njrusmc.net/about/nrusso_dd214.jpg	(from https://njrusmc.net/about/about.html)
08:37:17	1184883/1184883	---MCZ	200	added ('OK')	application/pdf	etag:W/%227b0d5ec66c35e32bdd7809d02e3e8117%22	https://njrusmc.net/about/rit_transcript.pdf	/tmp/njrusmc.net/njrusmc.net/about/rit_transcript.pdf	(from https://njrusmc.net/about/about.html)
08:37:18	172910/172910	---M--	200	added ('OK')	image/jpeg	etag:%22d9103e9b5df5ac91947950e53c6125e3%22	https://njrusmc.net/about/ccie_ei_cert.jpg	/tmp/njrusmc.net/njrusmc.net/about/ccie_ei_cert.jpg	(from https://njrusmc.net/about/about.html)
